id,device_name,device_mac,temperature,humidity,energy_amp,relay_status,timestamp
1,충전기,F4:12:FA:9B:62:48,24.0,17.0,0.434,on,2026-02-01 07:50:36
2,충전기,F4:12:FA:9B:62:48,24.0,17.0,0.43,on,2026-02-01 07:50:40
3,충전기,F4:12:FA:9B:62:48,24.0,17.0,0.442,on,2026-02-01 07:50:44
4,충전기,F4:12:FA:9B:62:48,24.0,17.0,0.426,on,2026-02-01 07:50:47
5,충전기,F4:12:FA:9B:62:48,24.0,17.0,0.438,on,2026-02-01 07:50:51
6,충전기,F4:12:FA:9B:62:48,24.0,17.0,0.419,on,2026-02-01 07:50:57
7,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.423,on,2026-02-01 07:51:00
8,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.411,on,2026-02-01 07:51:04
9,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.423,on,2026-02-01 07:51:12
10,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.423,on,2026-02-01 07:51:16
11,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.411,on,2026-02-01 07:51:25
12,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.426,on,2026-02-01 07:51:31
13,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.423,on,2026-02-01 07:51:38
14,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.442,on,2026-02-01 07:51:42
15,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.434,on,2026-02-01 07:51:58
16,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.423,on,2026-02-01 07:52:04
17,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.43,on,2026-02-01 07:52:08
18,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.43,on,2026-02-01 07:52:22
19,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.438,on,2026-02-01 07:52:34
20,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.438,on,2026-02-01 07:52:40
21,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.43,on,2026-02-01 07:52:51
22,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.419,on,2026-02-01 07:52:54
23,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.423,on,2026-02-01 07:53:15
24,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.419,on,2026-02-01 07:53:29
25,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.407,on,2026-02-01 07:53:50
26,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.438,on,2026-02-01 07:54:09
27,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.438,on,2026-02-01 07:54:14
28,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.442,on,2026-02-01 07:54:18
29,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.434,on,2026-02-01 07:54:22
30,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.43,on,2026-02-01 07:54:44
31,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.476,on,2026-02-01 07:54:49
32,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.442,on,2026-02-01 07:54:53
33,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.449,on,2026-02-01 07:55:02
34,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.438,on,2026-02-01 07:55:06
35,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.446,on,2026-02-01 07:55:09
36,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.453,on,2026-02-01 07:55:13
37,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.434,on,2026-02-01 07:55:28
38,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.442,on,2026-02-01 07:55:39
39,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.438,on,2026-02-01 07:55:44
40,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.446,on,2026-02-01 07:55:55
41,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.438,on,2026-02-01 07:55:59
42,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.43,on,2026-02-01 07:56:03
43,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.438,on,2026-02-01 07:56:07
44,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.449,on,2026-02-01 07:56:26
45,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.43,on,2026-02-01 07:56:37
46,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.457,on,2026-02-01 07:56:41
47,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.446,on,2026-02-01 07:56:49
48,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.453,on,2026-02-01 07:56:53
49,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.434,on,2026-02-01 07:56:57
50,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.446,on,2026-02-01 07:57:06
51,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.457,on,2026-02-01 07:57:10
52,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.434,on,2026-02-01 07:57:18
53,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.423,on,2026-02-01 07:57:21
54,충전기,F4:12:FA:9B:62:48,25.0,17.0,0.434,on,2026-02-01 07:57:25
