device_mac,device_name,temperature,humidity,energy_amp,relay_status,timestamp
F4:12:FA:9B:62:48,EV Charger,15.56,50.32,0.0,off,2026-01-26 00:00:00
F4:12:FA:9B:62:48,EV Charger,16.68,50.77,0.0,off,2026-01-26 00:05:00
F4:12:FA:9B:62:48,EV Charger,15.88,49.42,0.0484,on,2026-01-26 00:10:00
F4:12:FA:9B:62:48,EV Charger,15.76,48.26,0.0,off,2026-01-26 00:15:00
F4:12:FA:9B:62:48,EV Charger,15.95,49.55,0.0,off,2026-01-26 00:20:00
F4:12:FA:9B:62:48,EV Charger,15.92,51.44,0.0,off,2026-01-26 00:25:00
F4:12:FA:9B:62:48,EV Charger,16.17,52.52,0.0,off,2026-01-26 00:30:00
F4:12:FA:9B:62:48,EV Charger,15.84,50.32,0.0679,on,2026-01-26 00:35:00
F4:12:FA:9B:62:48,EV Charger,16.11,50.87,0.0,off,2026-01-26 00:40:00
F4:12:FA:9B:62:48,EV Charger,16.15,51.76,0.0,off,2026-01-26 00:45:00
F4:12:FA:9B:62:48,EV Charger,16.22,49.88,0.0,off,2026-01-26 00:50:00
F4:12:FA:9B:62:48,EV Charger,16.8,48.64,0.0,off,2026-01-26 00:55:00
F4:12:FA:9B:62:48,EV Charger,17.63,51.02,0.0,off,2026-01-26 01:00:00
F4:12:FA:9B:62:48,EV Charger,16.86,49.97,0.0,off,2026-01-26 01:05:00
F4:12:FA:9B:62:48,EV Charger,16.2,48.19,0.0,off,2026-01-26 01:10:00
F4:12:FA:9B:62:48,EV Charger,16.46,50.79,0.0,off,2026-01-26 01:15:00
F4:12:FA:9B:62:48,EV Charger,16.23,49.83,0.0,off,2026-01-26 01:20:00
F4:12:FA:9B:62:48,EV Charger,16.45,50.27,0.0,off,2026-01-26 01:25:00
F4:12:FA:9B:62:48,EV Charger,17.12,50.51,0.0716,on,2026-01-26 01:30:00
F4:12:FA:9B:62:48,EV Charger,17.11,48.74,0.0,off,2026-01-26 01:35:00
F4:12:FA:9B:62:48,EV Charger,16.72,48.02,0.0,off,2026-01-26 01:40:00
F4:12:FA:9B:62:48,EV Charger,17.32,48.38,0.0,off,2026-01-26 01:45:00
F4:12:FA:9B:62:48,EV Charger,16.45,50.27,0.0,off,2026-01-26 01:50:00
F4:12:FA:9B:62:48,EV Charger,17.08,49.75,0.0,off,2026-01-26 01:55:00
F4:12:FA:9B:62:48,EV Charger,16.74,50.83,0.0,off,2026-01-26 02:00:00
F4:12:FA:9B:62:48,EV Charger,17.17,46.65,0.0,off,2026-01-26 02:05:00
F4:12:FA:9B:62:48,EV Charger,16.51,50.26,0.0764,on,2026-01-26 02:10:00
F4:12:FA:9B:62:48,EV Charger,17.02,49.51,0.0,off,2026-01-26 02:15:00
F4:12:FA:9B:62:48,EV Charger,16.83,49.84,0.0,off,2026-01-26 02:20:00
F4:12:FA:9B:62:48,EV Charger,16.86,48.53,0.0,off,2026-01-26 02:25:00
F4:12:FA:9B:62:48,EV Charger,17.42,50.12,0.0,off,2026-01-26 02:30:00
